X,Y,item,pagerank,chosen
9.665904,-3.0410824,科技,0.004903987135707932,1.0
-10.823073,18.707937,中国制造,0.01767704132853046,1.0
1.1046026,7.6773906,知识,0.0138333511459866,1.0
-1.621081,-13.497082,搞笑,0.008744189240711008,1.0
21.051409,-3.3201625,科技猎手2023,0.01722474453422394,1.0
-22.152142,2.9953642,智轨电车,0.027388827939883738,1.0
-2.9954665,-6.4399896,必剪创作,0.007439986285115872,1.0
-21.113157,-10.263697,旅游,0.011833100897027828,1.0
13.012025,-10.375235,数码,0.010111577791233452,1.0
-13.619638,-1.5682008,生活,0.0071156130764726475,1.0
-1.8339603,0.7211828,航空,0.01561916480303636,1.0
5.870806,3.5051856,科普,0.021825807984699505,1.0
-9.042044,-10.918306,转场,0.010081313510852587,1.0
15.869181,17.687832,工程机械,0.014407728012653559,1.0
-3.2815673,13.981172,特种兵式旅游,0.008908255250308897,1.0
13.486616,-0.92823416,黑科技,0.02116360198691191,1.0
10.697254,7.862885,计算机技术,0.016053116793691872,1.0
16.631084,-5.631557,手机,0.011213282070656052,1.0
21.816616,-10.563709,opporeno10,0.008896421894301395,1.0
4.212263,-0.13105601,科学科普,0.015287549118720893,1.0
-23.694736,-5.2169394,bilibili旅行奇遇记,0.003812732890617487,1.0
-8.055536,2.4219546,飞机,0.005400386770271375,1.0
6.428819,7.7266335,万物研究所·第十期,0.000554928654481241,1.0
-12.885069,4.5445147,DIY,0.0077271293625406,1.0
-5.150491,-3.7193015,科工机械,0.013814971070294358,1.0
14.546389,1.3467638,软件应用,0.013321570172048124,1.0
9.609922,-13.738785,电脑配置,0.014595443717694195,1.0
-9.730956,5.350321,极客DIY,0.002490944941186606,1.0
4.5641303,-7.284354,动画,0.0005407749217842222,1.0
12.762878,-14.928427,CPU,0.0008085480060633105,1.0
-14.653781,-2.3854706,日常,0.0005407749217842222,1.0
6.503635,24.818874,纪实,0.004328652316891773,1.0
3.3720605,0.9721119,科学,0.000554928654481241,1.0
-4.0465293,-18.046906,搞笑研究所,0.000554928654481241,1.0
17.597836,-2.7898355,科技猎手,0.000554928654481241,1.0
-5.4479413,-11.81622,影视,0.008976345106293599,1.0
-5.632366,-1.8411355,机械,0.009133291872338956,1.0
16.262924,-9.396272,魅族18,0.014300965561626768,1.0
-8.6394005,21.909819,你永远可以相信中国制造,0.015222778056580618,0.0
-0.9176438,21.800814,星计划,0.0029062936699448157,1.0
-17.382166,-5.5271764,校园学习,0.0005784349558686551,1.0
-21.429981,12.2805,考研,0.0025661673239390725,0.0
7.329268,-9.960818,动画短片群星计划,0.003760285478909535,1.0
