X,Y,item,pagerank,chosen
-22.036097,-7.0260754,音乐分享官,0.03258716980240053,1.0
1.1450009,-2.4839103,音乐,0.04850216366371257,1.0
11.996764,18.638481,二次元,0.0007546731500571214,1.0
-13.086512,-19.871086,乐评盘点,0.04122998611903993,1.0
0.4221288,-13.659449,动漫音乐,0.005283986221684533,1.0
20.176823,-0.6415143,One last kiss,0.0007546731500571214,1.0
-8.80072,-11.299734,ACG音乐,0.0007546731500571214,1.0
-14.289785,6.8615565,嘻哈,0.0012089820897708196,1.0
-8.466038,23.42932,极乐净土,0.0007546731500571214,1.0
12.446832,8.489466,动画,0.0007546731500571214,1.0
7.0206833,-18.718851,音乐研究所,0.0007546731500571214,1.0
16.1533,7.280302,AMV,0.0007546731500571214,1.0
-3.3389976,-23.240316,2023新年音乐大作战,0.0007546731500571214,1.0
7.4310584,-6.963066,政在联动中,0.002539482390285891,1.0
-6.225821,12.851251,必剪创作,0.03023021433210841,1.0
11.544725,-1.8132905,钢琴,0.03739597931252764,1.0
11.136752,2.1510837,演奏挑战赛,0.03791449887389497,1.0
9.002049,-12.489252,知识分享官,0.03394709740198727,1.0
14.950127,13.255649,动画短片群星计划,0.027422862157187762,1.0
-5.159321,10.117717,萌娃,0.03052378498415162,1.0
2.4628525,12.9197445,日本,0.0015825741818187484,1.0
19.187286,-6.4164658,翻唱挑战赛,0.003290996243907925,1.0
18.521276,2.7580976,新世纪福音战士,0.0007425063482022483,1.0
9.1699,20.647568,二次元中二小剧场,0.0007425063482022483,1.0
11.894678,-14.413446,日语,0.00771677867166963,1.0
23.89211,9.335171,配音,0.0007425063482022483,1.0
-0.752726,22.200472,浪姐教你跳极乐净土,0.0016758117350941279,1.0
-5.7479544,-4.139596,音乐综合,0.002525771643475221,1.0
13.352958,17.48814,看一遍就爱上的日语现场,0.0007425063482022483,1.0
21.536512,-7.2032,翻唱,0.002474999440965006,1.0
6.524109,22.905487,动画加工厂,0.0007425063482022483,1.0
-4.4583926,24.643465,BML,0.0007732023092878926,1.0
-4.690364,19.622276,一起看姐姐72面,0.007309144682572382,1.0
2.3309593,2.601755,LIVE,0.0029720766095978394,1.0
-8.763594,-3.9353275,音乐安利大赏,0.0007732023092878926,1.0
12.674811,-12.542031,中岛美嘉,0.002649750041888095,1.0
0.16860521,-7.75255,新世代音乐人计划女生季,0.0007732023092878926,1.0
2.3147473,2.5668619,音乐现场,0.0012147211472198793,1.0
-9.468231,17.54382,再跳一遍《极乐净土》回忆杀,0.0012041031590598098,1.0
-4.364131,-15.970232,你的名字,0.0007732023092878926,1.0
0.39226818,2.4738138,干杯音乐节,0.0007732023092878926,1.0
6.113044,17.219872,美依礼芽,0.0007732023092878926,1.0
0.922703,-8.735316,歌曲,0.0007732023092878926,0.0
-5.76925,16.66979,极乐净土三人组金曲心动挑战,0.00163801016725601,1.0
-0.5274811,11.738844,生活,0.0007425063482022483,1.0
-3.2709637,-4.4676623,水树奈奈,0.0007425063482022483,1.0
6.416095,-2.2340894,张国荣逝世20周年纪念,0.0007425063482022483,1.0
11.298911,-0.2896211,演奏,0.0007425063482022483,1.0
-8.219934,8.701598,娱乐,0.0007425063482022483,1.0
-9.0728035,-8.78811,日语现场,0.0020636645823591555,0.0
-2.5136545,19.97765,MARiA,0.0007425063482022483,0.0
-9.16105,-9.630824,演唱会,0.0020080035992075967,0.0
-11.647387,-16.345518,音乐选集,0.002036883121532447,0.0
16.477186,4.761348,MAD·AMV,0.0007425063482022483,0.0
-16.632307,-12.293726,纯音乐,0.0011516733320468312,0.0
16.605398,4.5172777,MAD.AMV,0.0007425063482022483,0.0
-14.748963,-2.663444,音乐分享官5.0,0.0025699329482640944,1.0
-5.2594814,-14.730606,听歌,0.0011857464647000344,0.0
