X,Y,item,pagerank,chosen
-85.30104,26.60239,graph theory,0.00028873346894493085,1.0
-4.0291634,22.167452,chaos theory,0.00018460132851229072,1.0
-27.76709,14.57765,claude shannon,0.00017276619186175953,1.0
-42.3826,19.69803,information theory,9.147009822664969e-05,1.0
-26.081823,-6.4911947,operations research,8.346402660663686e-05,1.0
-35.279907,14.76461,quantum logic gate,8.920027963558534e-05,1.0
7.608863,-10.105042,data mining,0.0006502442406902755,1.0
39.903023,4.4180393,remote sensing,6.0993930001384697e-05,1.0
35.549625,42.87276,electromagnetic wave equation,0.00010567053286350965,1.0
3.9291036,-69.21617,collective intelligence,9.993614202520717e-05,1.0
-25.958237,-61.87788,empathy,0.0007275542790246409,1.0
-71.10009,-31.056734,false dilemma,6.0993930001384697e-05,1.0
-65.30329,34.718033,low-density parity-check code,0.0005060572171075286,1.0
-3.0355842,-23.42823,simulated reality,9.332697436337688e-05,1.0
-1.718041,52.80358,fourier transform,0.0004189644704545158,1.0
84.0609,-7.9743595,wearable computer,0.0002939396889567316,1.0
7.524617,44.04246,superlens,9.824745632383096e-05,1.0
57.0354,-42.63169,digital preservation,0.00013865629855775206,1.0
-25.989975,12.204304,control theory,0.00027983576407690405,1.0
23.743101,-77.09537,constructed language,0.00021304318309358996,1.0
-9.870057,0.5692765,analytics,0.00021571952048937568,1.0
-13.986615,32.15443,spatial dependence,6.784980084592394e-05,1.0
25.92531,2.7911198,psychoacoustics,0.0005626562632556084,1.0
-42.43878,-48.32982,philosophy of perception,0.0001516914192833553,1.0
-10.183677,53.363136,correlation,0.0002715570418687455,1.0
39.868702,-49.55006,semantic web,0.0002827607936385076,1.0
1.1468383,-59.712624,collaborative software,0.00044512401367660117,1.0
-29.646793,-54.481495,self-awareness,0.00028980161218938687,1.0
8.435294,-0.91285104,principal components analysis,6.672230450105495e-05,1.0
55.119522,-28.61361,transhumanism,0.0005999665179431701,1.0
83.26075,1.2703953,internet of things,0.0007410129399835477,1.0
43.422737,30.392382,3d computer graphics,0.0008832253786210917,1.0
