X,Y,Z,item,pagerank,chosen
16.703653,-5.1953316,-23.664465,graph theory,0.0002886997759998745,1.0
2.1045327,-1.553583,-18.086628,information theory,0.00018457981997001206,1.0
-14.629345,6.3646913,-7.620854,data mining,0.0001727460192460222,1.0
4.370712,-9.224922,-16.139132,claude shannon,9.145942067928083e-05,1.0
-16.8555,1.9582804,18.910978,chaos theory,8.345428540605453e-05,1.0
0.04831509,-5.573213,-9.025747,control theory,8.918986665044396e-05,1.0
21.941568,-4.841958,-1.6292348,quantum logic gate,0.0006501684155729331,1.0
-10.490054,8.460824,9.293318,collective intelligence,6.098681170817919e-05,1.0
0.96573764,-17.682266,21.571072,remote sensing,0.00010565819864358853,1.0
-20.4245,5.3062773,-15.75087,operations research,9.992447621021913e-05,1.0
-9.089776,-1.3082529,18.317833,simulated reality,0.0007274694924840454,1.0
-7.855871,-18.738768,-3.5921078,fourier transform,6.098681170817919e-05,1.0
-13.321511,17.898726,1.086727,semantic web,0.0005060017217475599,1.0
13.335303,-2.6374,17.463085,visual perception,9.331625851589204e-05,0.0
4.2143073,-2.6180036,-26.373327,low-density parity-check code,0.00041891596086775863,1.0
13.794336,17.101566,-7.8352556,propositional calculus,0.00029390851400953454,0.0
1.4200413,-8.725516,-8.74631,thermodynamic equilibrium,9.823618941920352e-05,0.0
1.6764122,-25.301477,-5.7951293,electromagnetic wave equation,0.00013864039347309228,1.0
-0.8624947,10.318085,13.833675,cognitive science,0.0002798140164713883,1.0
-5.4365997,-7.4938765,19.19156,wearable computer,0.00021301877135163845,1.0
13.940329,2.901247,-7.6042037,false dilemma,0.00021569456886539684,1.0
-13.290351,10.213555,-12.060188,analytics,6.78443620080671e-05,1.0
4.5338874,20.704063,11.461443,empathy,0.0005625908078053184,1.0
-8.123012,13.234268,-4.226536,natural language processing,0.00015167393931206724,0.0
15.612486,4.98166,4.3633537,philosophy of perception,0.0002715255303373122,1.0
3.6663408,10.856714,14.4552765,cognitive psychology,0.0002827279866041836,0.0
-2.9405053,-2.3588417,1.9651335,artificial intelligence,0.0004450740005967031,0.0
3.7256665,-19.824383,9.890363,graphics processing unit,0.0002897678031837059,0.0
-4.161201,2.1491685,6.362163,speech recognition,6.67145166490917e-05,0.0
-6.896356,-18.038637,-8.204019,system analysis,0.0005998964493294445,0.0
-0.20527616,10.407731,8.981372,embodied cognition,0.0007409266271062077,0.0
-12.756707,-10.902909,10.829098,internet of things,0.0008831230119575267,0.0
10.926152,-4.6809907,10.202885,psychoacoustics,0.00020059430750253,1.0
13.634291,15.940129,-7.6191845,truth-functional propositional logic,0.00020368971776829327,0.0
13.612077,17.036827,8.521521,self-awareness,8.717830387568163e-05,1.0
-0.5082694,9.69366,-6.6940136,induction (philosophy),0.0006938903997215178,0.0
-14.066918,-8.7172575,-5.881943,principal components analysis,0.0004431105502897608,0.0
3.3947978,0.15583806,3.6290166,artificial neural network,0.00017741799248397779,0.0
-17.059086,10.785166,12.728074,collaborative software,0.0002441271167766392,1.0
3.9066935,-19.924862,-14.358283,finite element method,0.00013724196112736497,0.0
13.22966,2.206362,7.5145636,senses,0.00012188242230117458,0.0
-7.756554,14.404271,-4.1900325,natural-language processing,0.00014562548316062718,1.0
-1.5095978,-20.490488,8.007103,3d computer graphics,0.00015459504976116317,0.0
0.7948068,-1.7637851,6.1179447,neural network,0.00031253097349094193,0.0
-23.081524,14.153089,4.087966,digital preservation,0.0003376580980918535,1.0
-1.3290837,23.99557,-9.238835,constructed language,0.0005903752205611727,1.0
-21.980715,-11.190996,0.20486222,spatial dependence,4.2467908817432726e-05,1.0
4.542853,-19.492092,9.426185,gpu,0.0001921697368748496,0.0
-5.1378736,1.8213418,3.8682218,speech recognition software in healthcare,0.0002108222217190864,0.0
-2.5821743,-14.261947,7.3757806,computer-aided design,0.00019596707894081343,0.0
-25.826204,10.381522,6.903172,data management,0.00026912301285114443,0.0
-18.893772,1.5663667,11.485138,openness,7.420270147615492e-05,0.0
-17.895685,-11.6660185,-4.6784396,correlation,0.0004874602512992922,1.0
5.7978272,13.377695,6.742846,animal consciousness,0.000367726815212547,0.0
10.411842,-0.13043582,-6.3946095,fuzzy logic,0.0011919584932935873,0.0
-3.015128,5.3653235,-3.2862794,problem finding,0.0006821165698085304,0.0
-2.0277722,17.227695,-1.833722,computational linguistics,0.00011973313754561417,0.0
14.647328,6.131759,10.386816,perception,6.651801466816533e-05,0.0
6.604533,12.3396845,2.6199386,turing test,0.0002379695880348283,0.0
3.949905,8.698629,-13.940128,system dynamics,9.174966326033346e-05,0.0
-3.56401,3.731378,14.461808,biologically inspired computing,0.00026086204222074865,0.0
16.99075,-12.597157,-8.401588,ieee 754,0.00011514378258393295,0.0
-1.8918701,13.4849415,22.754883,noogenesis,0.0002859097191291046,0.0
-4.024593,7.3411894,-2.9844506,problem shaping,0.00024197607420420517,0.0
-14.877657,-0.7509047,-16.184519,optimal control,8.861238807888825e-05,0.0
1.168138,4.42216,2.686725,cognitive architecture,0.00019666892591735846,0.0
20.006721,0.6570786,10.619624,optical illusion,4.170485048249372e-05,0.0
-8.657591,11.588033,16.685038,spiral of silence,0.000350642816381385,0.0
3.527682,19.908997,4.2205772,speech repetition,0.0007675046536439216,0.0
-17.4938,8.265043,-20.128553,decision theory,6.651801466816533e-05,0.0
-11.450343,-26.765242,-2.630317,superlens,0.00021382378597363823,1.0
12.344424,-2.0571752,-0.5315843,dynamical systems theory,0.0002557619005261022,0.0
-9.949829,-12.300776,7.1354504,3d printing,0.00016425669321465746,0.0
-5.0577016,8.4061165,22.153997,transhumanism,0.0003091981671705674,1.0
8.29764,18.557257,7.6890736,theory of mind,0.00031741308950649445,0.0
11.155698,-0.7151607,16.164738,visual system,0.00010635061782313282,0.0
2.4614265,2.3135808,10.074519,brain–computer interface,0.0008936620234402578,0.0
13.693278,-11.132364,-9.467662,floating point,4.233652867165292e-05,0.0
10.907937,15.12184,-11.467276,first-order logic,9.953241761908785e-05,0.0
